X,Y,OBJECTID,CafeID,InspectionID,CafeName,InspectionDate,Status,PermitNumber,ABRANumber,COONumber,COUNumber,CafeDescription,HasSitePlan,HasABRALicense,HasCOO,HasCOU,NumberOfTables,NumberOfADATables,TableSize,NumberOfChairs,HasFence,IsVisibleToPublic,HasCovering,NumberOfUmbrella,UmbrellaClearanceWhenOpen,ClearanceOfAwning,FenceHeight,NumberOfGates,WidthOfGate,GateTypeCode,HeightOfPlanter,OtherBorder,WidthOfCafe,DepthOfCafe,TotalSquareFootage,WidthOfAisle,LengthOfClearSidewalkPath,DistanceToNearestIntersection,NameOfIntersection,DistanceToNearestCrosswalk,HasStreetTreeWithIn20ft,IsTreeGratedWithIn20ft,HasBusStopWithIn20ft,HasBusShelterWithIn20ft,HasStreetLightWithIn20ft,HasTrashCanWithIn20ft,HasTrafficSignalWithIn20ft,HasParkingMeterWithIn20ft,HasLoadingZoneWithIn20FtOfCurb,HasMetParkingWithIn20FtOfCurb,HasEnteranceWithIn20FtOfCurb,HasBusZoneWithIn20FtOfCurb,HasNoParkingWithIn20FtOfCurb,HasRushHourAM,HasRushHourPM,ValetParkingName,ValetParkingManager,ValetParkingPermitNumber,ValetParkingSpace,HasValetParkingSign,ParkingSignTypeID,HasFollowUpAppt,DoesCafeOperateInJanuary,DoesCafeOperateInFebruary,DoesCafeOperateInMarch,DoesCafeOperateInApril,DoesCafeOperateInMay,DoesCafeOperateInJune,DoesCafeOperateInJuly,DoesCafeOperateInAugust,DoesCafeOperateInSeptember,DoesCafeOperateInOctober,DoesCafeOperateInNovember,DoesCafeOperateInDecember,StartHourForOpening1,EndHourForOpening1,OperatesOnSunInOpening1,OperatesOnMonInOpening1,OperatesOnTueInOpening1,OperatesOnWedInOpening1,OperatesOnThuInOpening1,OperatesOnFriInOpening1,OperatesOnSatInOpening1,StartHourForOpening2,EndHourForOpening2,OperatesOnSunInOpening2,OperatesOnMonInOpening2,OperatesOnTueInOpening2,OperatesOnWedInOpening2,OperatesOnThuInOpening2,OperatesOnFriInOpening2,OperatesOnSatInOpening2,StartHourOfValetOpening1,EndHourOfValetOpening1,ValetOperatesOnSunInOpening1,ValetOperatesOnMonInOpening1,ValetOperatesOnTueInOpening1,ValetOperatesOnWedInOpening1,ValetOperatesOnThuInOpening1,ValetOperatesOnFriInOpening1,ValetOperatesOnSatInOpening1,StartHourOfValetOpening2,EndHourOfValetOpening2,ValetOperatesOnSunInOpening2,ValetOperatesOnMonInOpening2,ValetOperatesOnTueInOpening2,ValetOperatesOnWedInOpening2,ValetOperatesOnThuInOpening2,ValetOperatesOnFriInOpening2,ValetOperatesOnSatInOpening2,LastUpdateDate,Address,Ward,Quadrant,ANC,SMD,Zoning,ZipCode,NeighborhoodClusters,NeighborhoodNames,BID,AWI,EDZ,NIF,HistoricDistrict,PUD,CFAR,PSA,PD,XCoord,YCoord,OwnerName,InspectionComment,Longitude,Latitude
-76.995336485296832,38.882233438595961,1,1000,1000,Fusion Grill,2012-09-27T10:05:54.000Z,Unknown,PA623325,,159999,07-146,,1,0,1,1,7,,2x2,14,0,0,0,6,6,0,,,,,,3 foot fence with 9 foot opening fence is bolted,24.5,9,220.5,2,6,200,8th & E Sts SE,175,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,,0,,0,0,0,0,1,1,1,1,0,0,0,0,0,11:00 AM, 3:00 AM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T09:52:47.000Z,515 8TH STREET SE,6,SE,6B,6B03,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400404.83,134932.22,Fusion Grill,,-80.0538516,38.84228209
-76.99520154666304,38.883611986051335,2,1001,1001,Starbucks,2012-09-27T10:20:30.000Z,Unknown,PA617417,,,,Unenclosed,0,0,0,0,3,,2x2,7,0,0,0,2,15,0,,,,,,3 foot fence with 9 foot opening fence is movable,25,8,200,3,15,20,8th & D Sts SE,10,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,0,0,1,1,1,1,1,1,0,0,0,11:00 AM, 3:00 AM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:12:45.000Z,401 8TH STREET SE,6,SE,6B,6B02,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400416.53,135085.25,Starbucks,,-80.05214877,38.84370598
-76.99520154666304,38.883611986051335,3,1001,1241,Starbucks,2012-11-28T11:31:24.000Z,Unknown,PA617417,,,1200100,Unenclosed,0,0,0,1,3,,2x2,7,1,0,1,2,15,0,36,,8,Movable,,3 foot fence with 9 foot opening fence is movable,25,8,200,3,15,20,8th & D Sts SE,10,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,,,,,0,,0,0,0,0,1,1,1,1,1,1,0,0,0,11:00 AM,11:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:12:45.000Z,401 8TH STREET SE,6,SE,6B,6B02,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400416.53,135085.25,Starbucks,,-80.05214877,38.84370598
-76.99520154666304,38.883611986051335,4,1001,1075,Starbucks,2012-10-18T12:37:20.000Z,Unknown,PA617417,,,,Unenclosed,0,0,0,0,3,,2x2,7,0,0,0,2,15,0,,,,,,3 foot fence with 9 foot opening fence is movable,25,8,200,3,15,20,8th & D Sts SE,10,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,0,0,1,1,1,1,1,1,0,0,0,11:00 AM, 3:00 AM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:12:45.000Z,401 8TH STREET SE,6,SE,6B,6B02,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400416.53,135085.25,Starbucks,,-80.05214877,38.84370598
-76.995338199282386,38.882465674863887,5,1002,1004,Ted Bulletin Family Restaurant,2012-09-27T11:35:28.000Z,Unknown,PA55833,,1001816,1100099,unenclosed,0,0,1,1,2,,2x2,8,0,0,0,0,0,0,,,,,,,24,6,144,10,6,75,8th & E Sts SE,65,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1, 7:00 AM,11:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:53:57.000Z,505 8TH STREET SE,6,SE,6B,6B03,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400404.68,134958,Ted Bulletin Family Restaurant,,-80.05356474,38.84252197
-76.995338199282386,38.882465674863887,6,1002,1226,Ted Bulletin Family Restaurant,2012-11-27T12:06:49.000Z,Unknown,PA55833,,1001816,1100099,unenclosed,0,0,1,1,2,,2x2,8,0,0,0,0,0,0,,,,,,,24,6,144,10,6,75,8th & E Sts SE,65,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1, 7:00 AM,11:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:53:57.000Z,505 8TH STREET SE,6,SE,6B,6B03,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400404.68,134958,Ted Bulletin Family Restaurant,,-80.05356474,38.84252197
-76.995338199282386,38.882465674863887,7,1002,1227,Ted Bulletin Family Restaurant,2012-11-27T12:09:21.000Z,Unknown,PA55833,,1001816,,unenclosed,0,0,1,0,2,,2x2,8,0,0,0,0,0,0,,,,,,,24,6,144,10,6,75,8th & E Sts SE,65,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1, 7:00 AM,11:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T10:53:57.000Z,505 8TH STREET SE,6,SE,6B,6B03,CHC/C-2-A,20003,Cluster 26,Capitol Hill,Capitol Hill BID,,,,Capitol Hill Historic District,,,107,1,400404.68,134958,Ted Bulletin Family Restaurant,,-80.05356474,38.84252197
-77.046881906131134,38.904010779763063,8,1003,1002,Bruggers Bagels,2012-09-27T11:30:05.000Z,Unknown,PA46335,,162642,1200007,Unenclosed,0,0,1,1,4,,4x4,9,0,0,0,,,,,,,,,,30,6,180,2,9,160,21st & L Sts NW,160,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,,,,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1, 8:00 AM, 7:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T11:24:33.000Z,2101 L STREET NW,2,NW,2A,2A02,C-3-C,20037,Cluster 6,Golden Triangle,Golden Triangle BID,,,,,CESC 2101 L St. LLC,,207,2,395933.71,137350.71,Bruggers Bagels,,-80.02693218,38.86478229
-77.046881906131134,38.904010779763063,9,1003,1003,Bruggers Bagels,2012-09-27T11:31:51.000Z,Unknown,PA46335,,162642,1200007,Unenclosed,0,0,1,1,4,,4x4,9,0,0,0,,,,,,,,,,30,6,180,2,9,160,21st & L Sts NW,160,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,,,,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1, 8:00 AM, 7:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T11:24:33.000Z,2101 L STREET NW,2,NW,2A,2A02,C-3-C,20037,Cluster 6,Golden Triangle,Golden Triangle BID,,,,,CESC 2101 L St. LLC,,207,2,395933.71,137350.71,Bruggers Bagels,,-80.02693218,38.86478229
-77.046881906131134,38.904010779763063,10,1003,1453,Bruggers Bagels,2013-01-29T10:59:52.000Z,Unknown,PA46335,,162642,,Unenclosed,0,0,1,0,4,,4x4,9,0,0,0,,,,,,,,,,30,6,180,2,9,160,21st & L Sts NW,160,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,,,,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1, 8:00 AM, 7:00 PM,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2012-09-27T11:24:33.000Z,2101 L STREET NW,2,NW,2A,2A02,C-3-C,20037,Cluster 6,Golden Triangle,Golden Triangle BID,,,,,CESC 2101 L St. LLC,,207,2,395933.71,137350.71,Bruggers Bagels,,-80.02693218,38.86478229
